Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-09-12,1278084,WITHDRAWAL,0.0,560.0,0.0
2024-09-12,1380901,WITHDRAWAL,0.0,300.0,0.0
2024-09-12,1404993,WITHDRAWAL,0.0,100.0,0.0
2024-09-12,1456010,WITHDRAWAL,0.0,320.0,0.0
2024-09-12,1499581,WITHDRAWAL,0.0,400.0,0.0
2024-09-12,1836252,DEPOSIT,0.0,1836252.0,0.0
2024-09-12,1840525,WITHDRAWAL,0.0,1840525.0,0.0
2024-09-13,1517253,WITHDRAWAL,0.0,45.0,0.0
2024-09-13,1903070,DEBIT,10.0,0.0,1435.36
2024-09-13,2034735,DEBIT,49.0,0.0,1386.36
2024-09-13,2307850,WITHDRAWAL,0.0,2307850.0,77631667.0
2024-09-13,2554516,WITHDRAWAL,0.0,365.0,0.0
2024-09-14,1403031,DEBIT,10.0,0.0,631.36
2024-09-14,1480464,WITHDRAWAL,0.0,100.0,0.0
2024-09-14,1497810,DEPOSIT,0.0,1497810.0,0.0
2024-09-14,1740601,WITHDRAWAL,0.0,40.0,0.0
2024-09-14,1791185,WITHDRAWAL,0.0,197.0,0.0
2024-09-14,2169667,WITHDRAWAL,0.0,150.0,0.0
2024-09-14,2324785,WITHDRAWAL,0.0,2324785.0,0.0
2024-09-14,2352742,WITHDRAWAL,0.0,65.0,0.0
2024-09-14,2354189,WITHDRAWAL,0.0,350.0,0.0
2024-09-14,2407627,WITHDRAWAL,0.0,100.0,0.0
2024-09-15,1023226,WITHDRAWAL,0.0,1000.0,0.0
2024-09-16,863586,WITHDRAWAL,0.0,49.0,0.0
2024-09-22,340580,DEPOSIT,0.0,340580.0,0.0
2024-09-22,1945322,WITHDRAWAL,0.0,20.0,0.0
2024-09-22,2347847,DEPOSIT,0.0,2347847.0,0.0
2024-09-22,2431184,WITHDRAWAL,0.0,415.0,0.0
2024-09-23,423453,DEPOSIT,0.0,423453.0,0.0
2024-09-23,759953,WITHDRAWAL,0.0,759953.0,601492142352453.0
2024-09-23,1025098,WITHDRAWAL,0.0,1025098.0,0.0
2024-09-23,1191252,DEBIT,10.0,0.0,275.36
2024-09-23,1472727,WITHDRAWAL,0.0,145.0,0.0
2024-09-24,1208145,WITHDRAWAL,0.0,30.0,0.0
2024-09-24,2060485,DEPOSIT,0.0,2060485.0,0.0
2024-09-25,472674,WITHDRAWAL,0.0,80.0,0.0
2024-09-25,876805,WITHDRAWAL,0.0,10.0,0.0
2024-09-25,1889435,WITHDRAWAL,0.0,285.0,0.0
2024-09-25,1992378,WITHDRAWAL,0.0,1000.0,0.0
2024-09-25,2042385,WITHDRAWAL,0.0,2042385.0,77631667.0
2024-09-26,1108705,WITHDRAWAL,0.0,170.0,0.0
2024-09-26,2152817,DEBIT,10.0,0.0,445.36
2024-09-26,2161286,DEBIT,10.0,0.0,435.36
2024-09-26,2228396,WITHDRAWAL,0.0,2228396.0,0.0
2024-09-27,1170887,DEPOSIT,0.0,1170887.0,0.0
2024-09-27,2368376,WITHDRAWAL,0.0,2368376.0,77631667.0
2024-09-28,687544,WITHDRAWAL,0.0,100.0,0.0
2024-09-28,697741,WITHDRAWAL,0.0,20.0,0.0
2024-09-28,756192,WITHDRAWAL,0.0,140.0,0.0
2024-09-28,770466,WITHDRAWAL,0.0,15.0,0.0
2024-09-28,799212,WITHDRAWAL,0.0,300.0,0.0
2024-09-28,925187,WITHDRAWAL,0.0,150.0,0.0
2024-09-28,1009635,WITHDRAWAL,0.0,1009635.0,17809780.0
2024-09-28,1470572,WITHDRAWAL,0.0,25.0,0.0
2024-09-28,1575789,DEBIT,49.0,0.0,2961.36
2024-09-28,1597013,WITHDRAWAL,0.0,1597013.0,77631667.0
2024-09-28,1640004,WITHDRAWAL,0.0,15.0,0.0
2024-09-28,1990096,WITHDRAWAL,0.0,85.0,0.0
2024-09-28,2400135,WITHDRAWAL,0.0,40.0,0.0
